[2025-11-05 09:17:37.200838] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:04.844780] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:04.920465] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:04.980606] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:15.370121] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:34.243826] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:37.871755] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:39.501625] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:44.117492] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:45.618997] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:46.555502] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:46.892287] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:48.531815] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:48.638284] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:55.113938] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:57.875627] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:18:57.955394] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:19:20.653581] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:19:20.727309] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:19:40.643573] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: false
[2025-11-05 09:19:44.661102] [p-13628] [t-17848] [debug] Peek space-mode eligibility recomputed: true
